#Locus	Allele	PCA_pop	Frequency	Count
HLA-DPB1	DPB1*14	non_british_white	0.00686433793663688	338
HLA-DPB1	DPB1*15	non_british_white	0.00705499276410999	351
HLA-DPB1	DPB1*16	non_british_white	0.00110931827349738	55
HLA-DPB1	DPB1*17	non_british_white	0.0136188333601157	678
HLA-DPB1	DPB1*18	non_british_white	4.01493556028426e-05	2
HLA-DPB1	DPB1*19	non_british_white	0.00491829606134822	245
HLA-DPB1	DPB1*20	non_british_white	0.00036144578313253	18
HLA-DPB1	DPB1*21	non_british_white	4.01525798032524e-05	2
HLA-DPB1	DPB1*22	non_british_white	0	0
HLA-DPB1	DPB1*23	non_british_white	0.00162918862383845	81
HLA-DPB1	DPB1*26	non_british_white	8.03245110245391e-05	4
HLA-DPB1	DPB1*28	non_british_white	2.00730659600947e-05	1
HLA-DPB1	DPB1*30	non_british_white	0	0
HLA-DPB1	DPB1*31	non_british_white	0	0
HLA-DPB1	DPB1*33	non_british_white	0	0
HLA-DPB1	DPB1*34	non_british_white	0	0
HLA-DPB1	DPB1*35	non_british_white	0	0
HLA-DPB1	DPB1*40	non_british_white	2.00730659600947e-05	1
HLA-DPB1	DPB1*45	non_british_white	0	0
HLA-DPB1	DPB1*48	non_british_white	0	0
HLA-DPB1	DPB1*81	non_british_white	0	0
HLA-DPB1	DPB1*85	non_british_white	0	0
HLA-DPB1	DPB1*01	s_asian	0.0149205942622951	233
HLA-DPB1	DPB1*02	s_asian	0.16713401998368	2414
HLA-DPB1	DPB1*03	s_asian	0.0325915196207532	495
HLA-DPB1	DPB1*04	s_asian	0.379512962799531	5124
HLA-DPB1	DPB1*05	s_asian	0.00783339701948796	123
HLA-DPB1	DPB1*06	s_asian	0	0
HLA-DPB1	DPB1*09	s_asian	0.0164812525751957	240
HLA-DPB1	DPB1*10	s_asian	0.0102092904543134	160
HLA-DPB1	DPB1*11	s_asian	0.000317258883248731	5
HLA-DPB1	DPB1*13	s_asian	0.0602285861050469	938
HLA-DPB1	DPB1*14	s_asian	0.0165023011176857	251
HLA-DPB1	DPB1*15	s_asian	0.00641758800355827	101
HLA-DPB1	DPB1*16	s_asian	0.00171843177189409	27
HLA-DPB1	DPB1*17	s_asian	0.0238972924876065	376
HLA-DPB1	DPB1*18	s_asian	0.000126823081800888	2
HLA-DPB1	DPB1*19	s_asian	0.00126839167935058	20
HLA-DPB1	DPB1*20	s_asian	0	0
HLA-DPB1	DPB1*21	s_asian	0.00114198705748002	18
HLA-DPB1	DPB1*22	s_asian	0	0
HLA-DPB1	DPB1*23	s_asian	6.34356762243086e-05	1
HLA-DPB1	DPB1*26	s_asian	0.0483664317745035	755
HLA-DPB1	DPB1*28	s_asian	0.00317057704502219	50
HLA-DPB1	DPB1*30	s_asian	0	0
HLA-DPB1	DPB1*31	s_asian	0	0
HLA-DPB1	DPB1*33	s_asian	0	0
HLA-DPB1	DPB1*34	s_asian	0	0
HLA-DPB1	DPB1*35	s_asian	0	0
HLA-DPB1	DPB1*40	s_asian	0	0
HLA-DPB1	DPB1*45	s_asian	0	0
HLA-DPB1	DPB1*48	s_asian	0	0
HLA-DPB1	DPB1*81	s_asian	0	0
HLA-DPB1	DPB1*85	s_asian	0	0
HLA-DPB1	DPB1*01	white_british	0.0590202332155267	39712
HLA-DPB1	DPB1*02	white_british	0.10342088618232	67101
HLA-DPB1	DPB1*03	white_british	0.0692952052730203	42305
HLA-DPB1	DPB1*04	white_british	0.526398218252734	331106
HLA-DPB1	DPB1*05	white_british	0.0201753421727337	13582
HLA-DPB1	DPB1*06	white_british	6.10869817533186e-06	4
HLA-DPB1	DPB1*09	white_british	0.00195823237290982	1306
HLA-DPB1	DPB1*10	white_british	0.0146082931441234	9796
HLA-DPB1	DPB1*11	white_british	0.0260128134333232	17524
HLA-DPB1	DPB1*13	white_british	0.0144678487299602	9741
HLA-DPB1	DPB1*14	white_british	0.00683132447220652	4567
HLA-DPB1	DPB1*15	white_british	0.00688149039532914	4632
HLA-DPB1	DPB1*16	white_british	0.00170159064334481	1138
HLA-DPB1	DPB1*17	white_british	0.0110227576180162	7430
HLA-DPB1	DPB1*18	white_british	1.33484417918948e-05	9
HLA-DPB1	DPB1*19	white_british	0.00523099740452354	3527
HLA-DPB1	DPB1*20	white_british	0.000758536129179742	511
HLA-DPB1	DPB1*21	white_british	1.18646480945375e-05	8
